fr,fe
115727,129798
115727,128383
115727,116096
115728,134872
115728,136352
115728,118224
115728,130984
115729,118101
115729,121623
115729,135866
115729,138042
115730,127466
115730,127419
115730,138003
115730,139573
115730,118675
115730,118862
115730,139809
115731,116441
115731,137570
115731,122275
115731,131868
115731,127459
115731,127522
115731,118635
115731,137773
115732,132960
115732,130695
115732,124718
115732,117186
115733,139218
115733,134768
115733,118982
115733,139926
115734,123383
115734,124704
115734,134659
115734,138145
115734,129821
115734,118343
115735,132920
115735,116440
115735,139231
115735,139632
115736,129799
115736,116644
115736,134910
115736,132517
115736,126007
115736,117986
115736,137984
115736,116944
115736,116279
115736,138006
115737,120359
115737,121304
115737,118880
115737,140386
115737,132193
115737,118848
115737,121412
115738,135655
115738,120362
115738,120138
115738,133968
115738,131124
115738,134136
115738,137318
115738,118979
115739,124764
115739,125587
115739,119240
115739,134993
115739,116717
115739,138737
115739,121786
115739,134494
115739,127751
115739,118094
115740,118482
115740,133903
115740,134973
115740,118182
115741,137890
115741,123750
115741,117947
115741,130521
115741,117454
115742,130872
115742,128899
115742,137879
115742,132110
115742,122324
115742,120609
115743,124459
115743,133412
115743,139568
115743,125513
115743,140585
115743,121452
115744,140026
115744,126132
115744,136610
115744,127183
115744,135302
115744,137433
115744,141419
115744,122329
115744,123744
115744,127245
115745,130562
115745,134400
115745,129943
115745,119215
115745,140391
115745,118822
115745,137312
115745,117417
115745,136832
115746,131420
115746,139904
115746,140622
115746,132347
115746,141397
115746,139251
115746,118711
115746,141712
115746,130744
115747,134498
115747,115961
115747,118152
115747,138231
115747,126897
115747,124754
115747,119535
115747,123463
115748,125514
115748,121170
115748,119564
115748,131837
115749,129998
115749,118229
115749,139813
115749,140293
115749,136101
115749,138291
115749,122585
115750,137930
115750,136264
115750,139427
115750,140361
115750,133979
115750,138273
115750,122784
115751,141988
115751,118042
115751,139670
115751,141571
115752,117846
115752,119338
115752,122631
115752,129537
115753,138100
115753,139721
115753,122653
115753,125292
115753,137944
115753,136903
115755,128556
115755,140591
115755,124725
115755,129600
115755,138163
115755,126135
115755,126408
115755,132317
115756,141783
115756,138999
115756,128600
115756,133730
115756,130923
115756,133583
115757,115833
115757,126377
115757,125680
115757,136268
115757,134849
115757,130814
115758,134710
115758,115915
115758,126222
115758,135090
115758,121812
115758,125225
115759,123411
115759,124650
115759,133856
115759,119400
115760,133584
115760,132152
115760,119873
115760,123885
115760,131110
115760,123703
115762,138095
115762,117223
115762,130134
115762,116796
115762,122163
115762,131602
115762,137021
115762,119359
115763,132999
115763,128187
115763,142041
115763,138515
115763,122600
115763,141036
115763,132870
115764,123089
115764,138735
115764,123544
115764,130384
115764,140922
115764,130021
115764,119988
115764,116191
115765,138312
115765,141522
115765,137893
115765,133167
115766,128700
115766,129473
115766,118921
115766,136154
115766,131336
115766,116377
115766,138387
115766,117479
115766,119195
115766,118598
115767,122385
115767,137204
115767,140029
115767,137176
115767,136229
115768,133456
115768,133232
115768,122372
115768,123745
115768,141279
115768,141451
115769,136820
115769,119913
115769,118081
115769,131581
115770,129265
115770,135275
115770,141345
115770,139677
115770,139553
115770,129968
115770,119479
115770,125113
115771,125821
115771,127540
115771,126445
115771,138714
115771,118216
115771,136540
115771,123701
115772,132638
115772,120282
115772,134789
115772,139818
115772,130662
115772,139733
115773,127832
115773,119519
115773,120287
115773,124185
115773,119673
115773,133857
115773,121607
115774,141273
115774,141004
115774,126216
115774,131876
115774,119174
115774,129835
115774,118207
115775,125901
115775,138082
115775,136851
115775,136216
115775,117235
115775,127618
115775,139090
115775,115806
115776,122449
115776,139401
115776,116477
115776,132629
115778,137182
115778,141998
115778,139819
115778,131074
115778,128874
115778,125317
115778,118112
115778,116293
115778,134334
115779,140994
115779,115953
115779,136097
115779,130929
115779,127254
115779,132314
115779,137409
115779,126814
115780,137556
115780,128736
115780,135918
115780,135737
115780,133882
115780,138031
115780,119238
115780,141235
115780,132487
115781,138256
115781,128950
115781,134694
115781,123416
115781,122776
115782,137851
115782,129707
115782,123503
115782,130094
115782,135623
115782,125966
115782,122059
115782,128741
115782,125439
115782,133273
115783,129678
115783,120518
115783,121595
115783,133073
115783,119487
115783,131633
115783,129525
115784,118671
115784,137737
115784,132653
115784,135260
115784,120251
115784,127985
115784,135783
115785,124244
115785,136325
115785,135776
115785,128738
115785,137383
115785,128805
115785,128527
115785,135618
115785,140813
115786,121353
115786,139748
115786,140031
115786,135562
115787,141368
115787,121416
115787,124378
115787,131727
115787,126359
115787,136094
115787,135922
115789,122914
115789,131903
115789,119449
115789,141191
115789,141125
115789,140409
115791,129142
115791,127860
115791,140752
115791,135535
115791,116011
115791,121328
115791,133658
115792,120845
115792,141691
115792,119883
115792,119698
115792,139604
115793,140644
115793,142020
115793,119263
115793,139898
115794,132864
115794,124646
115794,120704
115794,122705
115794,120027
115794,129225
115794,124626
115794,118850
115794,126223
115795,29
115795,127179
115795,130813
115795,121774
115795,140528
115795,134311
115795,119682
115795,131327
115797,116441
115797,140556
115797,122002
115797,133310
115798,119076
115798,129495
115798,126706
115798,117362
115798,135390
115798,141215
115798,139777
115798,123376
115798,118822
115799,136259
115799,127136
115799,116555
115799,115988
115799,141289
115799,133643
115800,129269
115800,139549
115800,119589
115800,138409
115801,141685
115801,138657
115801,141995
115801,124933
115801,127976
115801,133348
115802,140453
115802,128483
115802,132251
115802,116949
115803,133486
115803,126454
115803,132859
115803,139383
115803,141773
115803,139569
115804,136721
115804,130892
115804,126762
115804,123019
115805,124707
115805,122032
115805,142018
115805,119588
115805,135567
115805,118839
115805,130399
115805,132498
115805,122969
115805,118352
115806,128111
115806,132997
115806,142027
115806,122188
115806,121327
115806,129413
115806,136405
115806,120012
115806,127053
115807,120173
115807,125811
115807,124830
115807,119475
115807,121014
115807,117487
115807,122193
115807,126895
115807,124631
115808,130016
115808,127937
115808,126247
115808,117040
115809,126275
115809,125808
115809,121402
115809,119927
115809,122715
115809,131268
115809,115857
115810,130945
115810,139930
115810,118876
115810,121439
115810,123287
115811,120924
115811,130050
115811,141259
115811,136375
115811,135337
115811,119875
115811,126297
115811,128555
115813,137400
115813,121870
115813,127509
115813,139404
115813,128986
115813,124643
115813,135133
115813,125868
115813,130653
115813,135632
115814,139483
115814,119524
115814,136842
115814,119804
115814,122100
115814,119674
115815,131772
115815,135687
115815,119661
115815,137304
115815,137373
115815,124959
115815,129401
115816,141140
115816,138181
115816,141382
115816,136625
115817,140849
115817,132005
115817,137397
115817,135897
115817,135139
115817,140123
115817,136140
115817,127457
115817,119172
115817,137227
115818,132972
115818,124908
115818,131524
115818,137532
115818,125400
115819,136340
115819,126581
115819,135657
115819,117931
115819,131607
115819,141349
115819,139257
115819,129054
115820,137737
115820,131932
115820,121264
115820,123112
115820,124432
115820,128618
115821,139637
115821,132923
115821,124579
115821,118814
115821,127958
115821,126330
115821,123553
115821,124023
115822,140363
115822,123385
115822,87
115822,126585
115822,134395
115822,126402
115822,134806
115822,138629
115822,124258
115822,131009
115823,140064
115823,121762
115823,140139
115823,127822
115824,119562
115824,121148
115824,122577
115824,136696
115825,135510
115825,117894
115825,122545
115825,136859
115825,124843
115826,135469
115826,118012
115826,126043
115826,116733
115826,140176
115826,136343
115826,137906
115826,125905
115826,137980
115826,121929
115827,121885
115827,125455
115827,126999
115827,118714
115828,131509
115828,115891
115828,125193
115828,130239
115828,123895
115828,134139
115828,124421
115828,139832
115828,131849
115828,127079
115829,133814
115829,116497
115829,127104
115829,123603
115830,124656
115830,134306
115830,134315
115830,132825
115830,119314
115830,130463
115830,115832
115830,138728
115830,129392
115830,128664
115831,123074
115831,129527
115831,132702
115831,141799
115831,136357
115831,138999
115831,140271
115832,141083
115832,135213
115832,119334
115832,136722
115832,122251
115832,125336
115832,140143
115833,122604
115833,120646
115833,121388
115833,123237
115833,134974
115833,139783
115833,118347
115833,119196
115834,118101
115834,122616
115834,121919
115834,128164
115834,129285
115835,138583
115835,116150
115835,125084
115835,135804
115835,116097
115835,118613
115835,128127
115835,125347
115835,128188
115836,141315
115836,128671
115836,122340
115836,116448
115836,115932
115836,138495
115836,125295
115836,119563
115836,123255
115836,128854
115838,124259
115838,133964
115838,137130
115838,116450
115838,129330
115838,137787
115838,140523
115838,139492
115838,131835
115839,137480
115839,127279
115839,138424
115839,116552
115839,130919
115840,121478
115840,116395
115840,139826
115840,127149
115840,139340
115841,140473
115841,116139
115841,128907
115841,134837
115841,141618
115841,129759
115841,117619
115841,128582
115841,129097
115841,128779
115842,119282
115842,135269
115842,131894
115842,137002
115843,117038
115843,136855
115843,122961
115843,125729
115843,131111
115843,116020
115843,142106
115843,136690
115843,127984
115844,139584
115844,117723
115844,139983
115844,131827
115844,139372
115844,128725
115844,120400
115844,131730
115844,133346
115845,139882
115845,140276
115845,137656
115845,129221
115845,119058
115845,134273
115845,138645
115845,123670
115845,132582
115846,133881
115846,129325
115846,136027
115846,136774
115846,124543
115846,138005
115846,129776
115847,135939
115847,134501
115847,129442
115847,116783
115847,118033
115847,130462
115847,121479
115847,120887
115847,124969
115848,130527
115848,129026
115848,115840
115848,140023
115848,132779
115848,139810
115848,132423
115848,130784
115848,142104
115849,137835
115849,116902
115849,130888
115849,12522
115849,140427
115850,134531
115850,124722
115850,122538
115850,133998
115850,126166
115850,127102
115850,131454
115850,132650
115852,130612
115852,130692
115852,118433
115852,125764
115852,119608
115852,136241
115852,128919
115852,122248
115852,133427
115853,128524
115853,124530
115853,136609
115853,116262
115853,122233
115853,124563
115853,134487
115853,117752
115854,126176
115854,131734
115854,133839
115854,123047
115854,116035
115854,141285
115854,137155
115854,117381
115854,132372
115855,135073
115855,116926
115855,135386
115855,134230
115855,128579
115855,138992
115855,123717
115856,120792
115856,126404
115856,121513
115856,131571
115856,130269
115856,131132
115856,132584
115857,119182
115857,128033
115857,121856
115857,128274
115857,122154
115857,124933
115858,136842
115858,122084
115858,125604
115858,120133
115858,124229
115858,119333
115858,123054
115858,99
115858,136049
115858,135873
115859,133004
115859,136824
115859,116468
115859,133899
115859,140342
115859,116039
115860,124938
115860,130233
115860,117743
115860,123803
115860,117473
115860,140905
115860,135492
115860,120821
115860,140895
115861,138234
115861,140035
115861,126996
115861,123384
115861,128498
115861,132047
115861,132297
115861,134031
115861,129013
115862,117913
115862,133215
115862,122352
115862,133984
115862,120082
115863,124261
115863,141258
115863,137801
115863,116303
115863,138522
115863,127092
115863,119265
115863,134139
115864,123866
115864,131127
115864,138359
115864,119653
115864,139948
115865,132490
115865,120274
115865,133401
115865,141387
115865,117780
115865,137170
115866,116149
115866,121371
115866,129877
115866,127497
115866,129994
115866,116955
115866,140313
115866,139363
115866,121408
115866,125003
115867,119569
115867,137321
115867,141053
115867,133656
115867,118362
115867,134453
115867,119302
115867,123147
115867,126475
115868,119580
115868,137793
115868,126437
115868,141971
115868,141961
115868,134264
115868,126942
115869,123091
115869,125466
115869,117503
115869,133787
115869,132712
115869,129111
115869,130009
115869,141492
115869,139906
115869,122692
115870,133145
115870,125750
115870,129175
115870,122043
115870,133354
115870,118637
115870,132629
115870,122802
115871,119440
115871,128357
115871,132214
115871,121337
115871,131703
115871,128243
115871,123976
115871,132429
115872,133894
115872,141847
115872,117729
115872,121146
115872,125638
115872,125330
115872,128844
115872,139550
115872,129247
115873,128112
115873,118362
115873,129565
115873,127812
115873,125641
115874,134435
115874,124550
115874,119143
115874,118326
115874,137985
115874,139849
115874,132481
115874,129614
115874,125040
115875,122180
115875,116831
115875,117288
115875,141789
115876,141398
115876,128316
115876,139378
115876,122215
115876,119292
115877,140291
115877,132112
115877,135959
115877,128498
115877,128172
115877,126155
115877,138831
115877,129799
115877,121194
115877,130395
115878,121534
115878,137816
115878,122990
115878,140173
115878,140900
115878,124189
115878,119029
115878,139706
115879,123809
115879,135468
115879,126135
115879,138370
115879,141660
115879,137785
115879,135716
115879,124181
115879,136378
115880,141245
115880,128123
115880,116910
115880,135965
115880,136162
115880,127385
115880,125595
115880,134964
115881,139516
115881,126912
115881,120626
115881,122947
115881,133793
115881,119784
115881,139096
115882,121408
115882,127372
115882,138442
115882,127091
115883,138071
115883,118165
115883,120709
115883,126732
115883,130677
115883,134322
115883,118142
115884,135071
115884,122125
115884,128161
115884,137910
115884,127741
115884,127428
115884,134652
115885,117299
115885,116071
115885,116575
115885,118165
115885,125039
115885,124388
115885,132538
115885,126467
115885,117462
115886,141000
115886,140347
115886,119270
115886,123433
115886,117993
115886,118314
115886,116536
115887,124435
115887,123522
115887,132553
115887,115838
115887,134587
115887,115870
115888,137668
115888,131460
115888,133010
115888,123184
115888,125661
115889,132681
115889,135183
115889,142024
115889,139185
115889,116338
115889,116413
115889,118898
115889,132052
115889,130636
115891,126788
115891,124329
115891,117926
115891,141539
115891,123300
115891,133851
115891,121000
115891,132052
115891,132854
115891,123495
115892,136434
115892,129382
115892,123722
115892,123096
115892,127514
115892,128085
115892,134019
115892,126155
115892,133461
115892,123917
115893,118756
115893,116538
115893,121187
115893,4358
115894,130579
115894,116282
115894,138077
115894,115871
115894,131121
115895,121036
115895,126459
115895,141242
115895,137387
115895,127321
115895,120770
115895,130918
115895,126251
115895,127072
115895,129271
115896,130678
115896,134109
115896,133682
115896,134088
115896,139596
115896,141057
115896,137683
115896,129938
115896,118165
115896,126748
115897,135935
115897,116736
115897,122465
115897,117137
115898,135136
115898,121445
115898,127116
115898,140871
115898,129222
115899,120176
115899,134295
115899,133691
115899,126652
115899,136955
115899,132862
115899,125951
115899,135535
115899,119654
115900,116472
115900,138129
115900,121280
115900,120383
115900,124015
115900,120889
115900,133258
115901,122347
115901,125560
115901,122690
115901,132867
115901,125278
115901,125317
115901,141011
115903,116677
115903,120852
115903,139373
115903,139832
115903,122095
115903,128183
115904,136746
115904,128585
115904,133752
115904,135752
115904,120946
115905,139037
115905,138088
115905,135120
115905,127982
115905,124707
115905,134565
115905,131842
115905,136173
115905,132455
115905,126374
115906,116257
115906,140439
115906,131349
115906,131917
115906,120156
115906,124060
115906,139312
115906,126462
115907,123258
115907,141502
115907,128592
115907,131343
115907,121371
115907,129181
115907,129058
115908,123129
115908,122667
115908,120630
115908,127635
115908,123666
115908,121431
115909,137640
115909,140154
115909,141280
115909,127374
115909,129313
115909,131590
115909,125912
115909,124984
115909,141224
115910,134992
115910,133855
115910,140693
115910,123984
115911,130314
115911,119173
115911,118495
115911,133184
115912,133978
115912,132119
115912,126565
115912,116172
115912,139605
115912,125526
115913,136619
115913,134655
115913,125439
115913,141922
115913,137358
115914,120926
115914,117570
115914,129510
115914,138095
115915,138513
115915,129467
115915,140968
115915,126034
115915,133924
115915,141610
115915,123005
115915,129383
115915,121339
115916,121842
115916,127296
115916,125251
115916,124294
115916,125239
115916,133715
115916,130099
115917,119605
115917,130109
115917,140796
115917,133387
115917,120804
115917,140488
115918,116823
115918,116365
115918,135362
115918,118378
115918,141053
115918,115715
115918,141502
115919,129097
115919,117773
115919,139656
115919,138188
115919,139468
115919,129934
115919,141764
115919,125806
115919,128425
115919,134026
115920,121447
115920,117137
115920,97
115920,128282
115920,128918
115920,121600
115920,117424
115920,132235
115920,120973
115921,122844
115921,122081
115921,133432
115921,119176
115921,129870
115921,138323
115921,121585
115921,135235
115922,135769
115922,138916
115922,116480
115922,117942
115922,116258
115922,125118
115922,115850
115923,141363
115923,129518
115923,128024
115923,126191
115924,123000
115924,130875
115924,139684
115924,130045
115924,139765
115924,125381
115924,128823
115924,129769
115924,122231
115924,131093
115925,131873
115925,115736
115925,116687
115925,125381
115925,119384
115925,134993
115925,127440
115925,118926
115926,120836
115926,136338
115926,117572
115926,119237
115926,123160
115926,128385
115926,128589
115928,138662
115928,136508
115928,117200
115928,134689
115928,138816
115928,127828
115928,139883
115928,131282
115928,138116
115928,136778
115929,137421
115929,133086
115929,130396
115929,132200
115929,135191
115929,137862
115929,139649
115929,132851
115929,117778
115929,115947
115930,119045
115930,131479
115930,119643
115930,139333
115930,124445
115930,139952
115930,129610
115930,139493
115932,122520
115932,126295
115932,122031
115932,128769
115932,138364
115932,140717
115932,115768
115932,136823
115932,134622
115932,134073
115933,116561
115933,125034
115933,117262
115933,118167
115933,138913
115933,118560
115933,124581
115933,141560
115934,139375
115934,141911
115934,129401
115934,127847
115934,129255
115934,132020
115934,128281
115935,120501
115935,124993
115935,124027
115935,136210
115935,124171
115935,118303
115935,116718
115935,129305
115935,125124
115935,127877
115936,138544
115936,138175
115936,131151
115936,135615
115937,132643
115937,133968
115937,130695
115937,36
115937,127522
115937,138161
115937,141528
115937,126089
115938,130656
115938,126164
115938,131108
115938,117583
115939,126781
115939,134668
115939,133514
115939,121019
115939,126047
115939,124726
115940,135800
115940,123043
115940,138736
115940,136525
115940,116676
115940,116901
115940,134314
115940,117392
115941,140451
115941,126973
115941,128921
115941,126805
115941,120477
115941,129500
115942,140962
115942,128628
115942,122085
115942,136520
115942,134671
115942,136128
115942,119047
115942,138419
115942,128272
115943,117984
115943,128183
115943,128302
115943,120145
115943,139236
115943,135062
115943,119458
115943,124711
115943,132820
115943,139994
115944,132060
115944,136814
115944,138746
115944,119580
115944,121063
115944,128884
115945,139118
115945,124253
115945,133431
115945,119314
115947,118107
115947,122361
115947,116229
115947,131603
115947,127993
115947,126812
115947,124611
115947,124855
115947,116567
115947,138743
115949,122060
115949,122591
115949,121638
115949,133375
115949,126456
115949,139616
115949,135012
115950,124750
115950,141236
115950,137921
115950,117797
115950,132349
115950,137656
115950,140528
115950,115773
115951,117495
115951,139063
115951,116132
115951,119719
115952,124830
115952,131388
115952,118256
115952,124995
115952,136923
115952,129554
115952,117232
115953,119384
115953,129613
115953,126837
115953,134499
115953,140983
115953,125376
115953,116041
115953,128415
115953,103
115954,124084
115954,120594
115954,117913
115954,130292
115954,127198
115954,133932
115954,125922
115955,123552
115955,119055
115955,125139
115955,137894
115955,123035
115955,121486
115955,123160
115955,132170
115955,123221
115956,125683
115956,136631
115956,135308
115956,130784
115956,130297
115956,116011
115956,130837
115956,118713
115956,128130
115957,132201
115957,135591
115957,136547
115957,130300
115957,119472
115957,138552
115957,132370
115958,141112
115958,121795
115958,126618
115958,142003
115959,118710
115959,117182
115959,136336
115959,139373
115959,120604
115959,116814
115959,125775
115959,117416
115960,126432
115960,137748
115960,119851
115960,126505
115960,117775
115960,120612
115961,119100
115961,127446
115961,126125
115961,129168
115962,116802
115962,117260
115962,138004
115962,119017
115962,121216
115962,115981
115962,132105
115963,127132
115963,132799
115963,138257
115963,129686
115963,128141
115963,117441
115963,127750
115963,122494
115963,130750
115963,120274
115964,135342
115964,117999
115964,117814
115964,134092
115964,131932
115964,130699
115965,121644
115965,123659
115965,123340
115965,121651
115965,124478
115965,124427
115966,130925
115966,129484
115966,134523
115966,139723
115966,118326
115966,125275
115967,116803
115967,132693
115967,133654
115967,142029
115967,141120
115967,139173
115967,134425
115967,136560
115967,132820
115967,136703
115968,126198
115968,125970
115968,124665
115968,133654
115968,125836
115968,123536
115968,122027
115968,121415
115968,132493
115968,129809
115969,116321
115969,126672
115969,134817
115969,129261
115969,134927
115969,125752
115969,123436
115969,141721
115969,127469
115970,129884
115970,133371
115970,127717
115970,120462
115971,139310
115971,127002
115971,116430
115971,137681
115971,129497
115971,124299
115971,129344
115971,122793
115971,116706
115972,118450
115972,141977
115972,118883
115972,138081
115973,133544
115973,116083
115973,136574
115973,124907
115974,136900
115974,118855
115974,142088
115974,138242
115974,131421
115974,130131
115975,132273
115975,123638
115975,119611
115975,119620
115975,128771
115975,139711
115975,140810
115976,131868
115976,126181
115976,132848
115976,120634
115976,117522
115976,118484
115976,132911
115976,139450
115976,115898
115976,132703
115977,136864
115977,118744
115977,117569
115977,133240
115977,132537
115977,137400
115978,121789
115978,127047
115978,140681
115978,118000
115978,130313
115978,132576
115978,116430
115978,125754
115979,131061
115979,116194
115979,136830
115979,128979
115979,124109
115979,123572
115979,124194
115979,125918
115979,130167
115980,132762
115980,138281
115980,120976
115980,117807
115980,120341
115980,128428
115981,138588
115981,130649
115981,129083
115981,119642
115982,120631
115982,119955
115982,132262
115982,140808
115982,127558
115982,128888
115983,137926
115983,140568
115983,134516
115983,135762
115983,124962
115984,124042
115984,132572
115984,134344
115984,117623
115984,136693
115984,116971
115985,131529
115985,121538
115985,116257
115985,135373
115985,129664
115986,139578
115986,123093
115986,125698
115986,138496
115986,136384
115986,129776
115987,123850
115987,141780
115987,124432
115987,128558
115987,134341
115987,116267
115987,141146
115987,130677
115987,140168
115987,125622
115988,137956
115988,117503
115988,126831
115988,141307
115988,134795
115988,141314
115988,119261
115988,128085
115988,139941
115988,131152
115989,116466
115989,119482
115989,123172
115989,125295
115989,129002
115990,129663
115990,118419
115990,115748
115990,131428
115991,116485
115991,122396
115991,127952
115991,122323
115991,126080
115991,126291
115991,130685
115991,140440
115991,120584
115991,140800
115992,133548
115992,132555
115992,129867
115992,133968
115992,132585
115992,129957
115992,134689
115992,123370
115993,136552
115993,124647
115993,141719
115993,125263
115993,127467
115993,117858
115993,135261
115993,135595
115993,137902
115994,136220
115994,141299
115994,130316
115994,121627
115994,123584
115994,119041
115995,119470
115995,127958
115995,137188
115995,116537
115995,128468
115995,123919
115997,136091
115997,121973
115997,131941
115997,120969
115997,116239
115997,134340
115997,140880
115997,134877
115998,115974
115998,139283
115998,116795
115998,119709
115998,121948
115998,116650
115999,131872
115999,122248
115999,133613
115999,133262
115999,123123
115999,136508
116000,126210
116000,58
116000,120536
116000,138796
116000,141236
116000,132121
116000,117001
116000,137325
116000,117060
116000,129717
116001,121412
116001,120990
116001,116508
116001,124719
116001,133261
116001,138931
116002,139429
116002,124475
116002,117738
116002,138997
116002,122028
116002,136274
116003,121790
116003,120309
116003,125728
116003,127141
116003,132786
116003,125634
116003,120965
116003,125177
116003,116599
116004,118160
116004,122178
116004,128085
116004,135990
116004,121133
116004,122413
116004,125234
116004,141731
116005,133168
116005,120556
116005,140783
116005,123494
116005,136795
116005,133169
116005,137206
116005,135374
116006,132641
116006,120082
116006,136582
116006,132175
116006,131866
116006,119658
116007,129796
116007,123261
116007,126095
116007,136040
116007,141505
116007,126572
116007,134458
116008,116354
116008,129268
116008,130252
116008,116385
116008,129590
116008,123395
116009,123255
116009,132501
116009,132269
116009,129479
116009,121698
116009,120598
116009,134353
116009,128253
116009,129586
116009,127879
116010,118499
116010,140118
116010,116139
116010,126266
116010,115998
116010,134964
116010,120573
116010,125911
116011,122816
116011,135512
116011,140779
116011,132641
116011,123853
116011,119844
116011,138914
116011,141797
116011,121128
116012,136424
116012,128279
116012,134955
116012,116374
116013,139308
116013,134519
116013,122993
116013,134621
116013,118227
116014,134699
116014,131685
116014,141076
116014,137220
116015,121311
116015,123113
116015,132878
116015,129776
116015,135713
116015,119091
116016,134600
116016,125466
116016,119545
116016,141555
116016,134024
116016,133790
116016,130116
116016,127530
116017,139806
116017,126439
116017,115895
116017,138993
116018,135113
116018,133246
116018,135603
116018,117560
116018,122152
116018,125292
116018,126040
116018,118968
116019,134827
116019,124997
116019,140370
116019,137770
116020,131840
116020,128142
116020,128190
116020,117660
116021,131111
116021,137722
116021,120398
116021,135307
116021,117636
116021,120285
116021,135798
116021,136611
116021,118573
116022,132240
116022,131537
116022,137567
116022,124406
116022,135024
116022,119361
116022,132659
116022,129398
116023,122504
116023,141755
116023,128886
116023,134370
116023,116231
116024,135920
116024,128726
116024,119139
116024,131410
116024,121281
116024,120422
116024,136621
116024,122189
116025,131603
116025,135214
116025,116629
116025,131694
116025,123997
116025,124208
116025,123617
116025,121235
116026,135062
116026,136348
116026,116527
116026,126611
116026,126044
116026,142065
116026,124585
116026,125297
116026,118584
116026,129376
116027,137452
116027,129254
116027,141975
116027,115749
116027,121951
116027,121171
116028,116166
116028,122834
116028,119276
116028,132455
116028,140106
116028,136920
116028,132099
116028,122808
116029,125349
116029,138482
116029,116854
116029,117723
116029,121620
116030,135970
116030,119094
116030,122279
116030,130426
116030,126544
116030,137582
116030,127953
116030,117358
116031,137406
116031,127004
116031,127484
116031,117616
116031,117082
116031,132687
116031,140898
116031,133176
116031,133972
116032,141855
116032,117696
116032,141877
116032,137255
116032,141745
116033,126628
116033,131562
116033,131543
116033,134745
116034,115953
116034,132763
116034,126204
116034,117766
116034,127493
116034,126428
116035,17
116035,128959
116035,115919
116035,130939
116035,117681
116035,128675
116035,131359
116035,130788
116035,130742
116035,116197
116036,134605
116036,125904
116036,128145
116036,125929
116037,138601
116037,121490
116037,135196
116037,131366
116037,132652
116037,131564
116037,128239
116038,126419
116038,124480
116038,130435
116038,130458
116039,130353
116039,141152
116039,141971
116039,136801
116040,135510
116040,128518
116040,132468
116040,130066
116040,123124
116040,126112
116041,140675
116041,132025
116041,127268
116041,121883
116041,137178
116041,136219
116041,117502
116041,141717
116041,122319
116041,137767
116042,122164
116042,122420
116042,119062
116042,134254
116042,136418
116042,140065
116042,121697
116042,122115
116043,120590
116043,133474
116043,137470
116043,125759
116043,140121
116043,116314
116044,116117
116044,127256
116044,139149
116044,125077
116044,120609
116044,120163
116044,119880
116045,129165
116045,116287
116045,128390
116045,133795
116045,136306
116045,117689
116045,129156
116045,138193
116045,123492
116046,128210
116046,117971
116046,116115
116046,131228
116046,124873
116046,138348
116046,127193
116046,118316
116047,124148
116047,130581
116047,130528
116047,130511
116047,116987
116047,115769
116047,115780
116048,132245
116048,141918
